('hosup_res/problems/sh-no-bools/FFT/prob_393__3229966_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_396__3230000_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_39__3224580_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_402__3230082_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_408__3230120_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_409__3230174_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_410__3230248_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_411__3230322_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_412__3230396_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_413__3230494_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_414__3230608_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_416__3230618_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_417__3230668_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_418__3230712_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_428__3231192_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_432__3231418_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_435__3231444_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_438__3231592_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_440__3231762_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_442__3231852_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_475__3232308_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_477__3232334_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_481__3232386_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_483__3232404_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_483__3232414_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_484__3232446_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_487__3232538_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_488__3232556_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_488__3232596_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_489__3232644_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_48__3224652_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_495__3232732_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_497__3232758_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_501__3232810_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_503__3232828_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_503__3232838_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_504__3232872_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_507__3232966_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_508__3232984_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_508__3233024_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_509__3233076_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_50__3224664_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_514__3233164_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_52__3224690_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_61__3224936_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_68__3225042_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_72__3225072_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_73__3225172_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_74__3225214_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_79__3225370_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_83__3225490_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_87__3225566_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_91__3225612_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_94__3225696_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_96__3225796_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1000__5380500_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1007__5380558_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1009__5380632_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1011__5380666_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1014__5380698_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1018__5380758_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_101__5369832_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1020__5380780_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1024__5380864_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1026__5380890_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1028__5380914_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1031__5380936_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1035__5380958_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1038__5381006_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1040__5381020_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1043__5381054_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1051__5381124_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1053__5381144_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1056__5381168_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1058__5381200_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1060__5381226_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1062__5381248_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1065__5381274_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1067__5381336_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1069__5381368_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_106__5369884_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1078__5381466_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1083__5381532_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1088__5381588_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1091__5381640_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1096__5381714_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_109__5369912_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1102__5381748_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1103__5381766_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1105__5381786_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1113__5381854_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1115__5381868_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_111__5369938_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1120__5381900_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1122__5381928_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1126__5381954_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1127__5381988_1', 'THM')
